Product,AA_Price,A_Price,AAA_Price
"iEXCEL Straumann® Novaloc® Abutment, straight, 0°",194.0,164.9,223.1
"iEXCEL Straumann® Novaloc® Abutment, straight, 15°",215.0,182.75,247.25
iEXCEL RB/WB Screw-ret. Abut.,241.0,204.85,277.15
iEXCEL RB/WB Screw-ret. Abut.,278.0,236.3,319.7
iEXCEL RB/WB Variobase® for Crown,165.0,140.25,189.75
iEXCEL WB Variobase® for Crown,165.0,140.25,189.75
iEXCEL RB/WB Variobase® for Bridge/Bar,165.0,140.25,189.75
iEXCEL WB Variobase® for Crown AS,186.0,158.1,213.9
iEXCEL RB/WB Variobase® C,165.0,140.25,189.75
iEXCEL WB Variobase® C,165.0,140.25,189.75
iEXCEL RB/WB LOCATOR® Abutment,219.0,186.15,251.85
iEXCEL Locator® Components NT,219.0,186.15,251.85
iEXCEL Locator® Components RT,219.0,186.15,251.85
iEXCEL Locator® Components WT,219.0,186.15,251.85
LOCATOR® Scanbody,66.0,56.1,75.9
"iEXCEL WB Gold Abutment - for crown, Ø 5.5mm, GH 1.5mm,Ceramicor®/POM",339.0,288.15,389.85
iEXCEL RB/WB Immediate Temporary Abutment,97.0,82.45,111.55
"iEXCEL RB/WB Temporary Abutment, for bridge",97.0,82.45,111.55
iEXCEL RB/WB VITA CAD-Temp®,100.0,85.0,115.0
"iEXCEL RB/WB Temporary Abutment, for crown",97.0,82.45,111.55
iEXCEL WB VITA CAD-Temp®,100.0,85.0,115.0
iEXCEL WB Temporary Abutment,97.0,82.45,111.55
"iEXCEL Removal Tool - for BLX Basal Screw, left-hand",150.0,127.5,172.5
"iEXCEL RB/WB Burn-out Coping, for Variobase®",47.0,39.95,54.05
iEXCEL WB Burn-out Coping Vario Base,47.0,39.95,54.05
"iEXCEL RB/WB Burn-out Coping, for Variobase® for Crown AS",47.0,39.95,54.05
"iEXCEL WB Burn-out Coping, for Variobase® for Crown AS",47.0,39.95,54.05
iEXCEL RB Implant Analog,47.0,39.95,54.05
iEXCEL WB Implant Analog,47.0,39.95,54.05
iEXCEL Repositionable Implant Analog RB,47.0,39.95,54.05
iEXCEL Repositionable Implant Analog WB,47.0,39.95,54.05
iEXCEL RB Impression Post Open Tray,65.0,55.25,74.75
iEXCEL WB Impression Post Open Tray,65.0,55.25,74.75
iEXCEL RB/WB Basal Screw,40.0,34.0,46.0
iEXCEL RB/WB Basal Screw AS,40.0,34.0,46.0
iEXCEL ScanPost S RB/WB L,71.0,60.35,81.65
iEXCEL Scanbody RB/WB,61.0,51.85,70.15
iEXCEL RB Impression Post Closed Tray,65.0,55.25,74.75
iEXCEL WB Impression Post Closed Tray,65.0,55.25,74.75
LOCATOR FIXED® Wrench,13.0,11.05,14.95
iEXCEL Novaloc® Equipment Box,219.0,186.15,251.85
iEXCEL Novaloc® Processing Package,99.0,84.15,113.85
iEXCEL Novaloc® Matrix Housing,99.0,84.15,113.85
"iEXCEL Novaloc® Matrix Housing, attachment",99.0,84.15,113.85
"iEXCEL Novaloc® Retention Inserts, 4pcs",54.0,45.9,62.1
iEXCEL Novaloc® Model Analog,24.0,20.4,27.6
iEXCEL Novaloc® Forming/Fixing Matrix,94.0,79.9,108.1
iEXCEL Novaloc® Processing Spacer,50.0,42.5,57.5
iEXCEL Novaloc® Mounting Collar,36.0,30.6,41.4
iEXCEL Novaloc® Mounting Insert,57.0,48.45,65.55
Novaloc® Scanbody,56.0,47.6,64.4
"iEXCEL Novaloc® Demounting Tool, Inserts, Analog",77.0,65.45,88.55
iEXCEL Novaloc® Mounting and Demounting Tool,77.0,65.45,88.55
iEXCEL Novaloc® Matrix Housing Extractor,77.0,65.45,88.55
Optiloc Matrix housing,54.0,45.9,62.1
"Optiloc Retention insert,",33.0,28.05,37.95
Optiloc® mounting collar,87.0,73.95,100.05
"Optiloc Forming/fixing matrix, 4pcs",87.0,73.95,100.05
